COOH_feature0,COOH_feature1,COOH_feature2,COOH_feature3,COOH_feature4,COOH_feature5,COOH_feature6,COOH_feature7,COOH_feature8,COOH_feature9,COOH_feature10,COOH_feature11,COOH_feature12,COOH_feature13,COOH_feature14,COOH_feature15,COOH_feature16,COOH_feature17,COOH_feature18,COOH_feature19,G_ads (eV),slab db row,swim_ring_H_COOH_out.dbrow
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.964904,28,28
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.861660,29,29
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0.918471,30,30
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0.970727,31,31
0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0.720311,32,32
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.921742,33,33
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0.957764,34,34
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.937860,35,35
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0.944439,36,36
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,2,0,0,0,1,1.033129,37,37
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0.972904,38,38
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.952795,39,39
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0.935550,40,40
0,0,0,0,1,5,1,0,0,0,0,3,0,0,0,2,1,0,0,0,0.848833,41,41
0,0,0,0,1,2,4,0,0,0,2,1,0,0,0,2,1,0,0,0,0.929004,42,42
0,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,1.038525,43,43
0,0,0,0,1,2,4,0,0,0,1,2,0,0,0,3,0,0,0,0,0.915536,44,44
0,0,0,0,1,5,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0.667704,45,45
0,0,0,0,1,4,2,0,0,0,2,1,0,0,0,2,0,0,0,1,0.844672,46,46
0,0,0,0,1,4,2,0,0,0,1,2,0,0,0,0,1,0,0,2,0.769687,47,47
0,0,0,0,1,2,4,0,0,0,1,2,0,0,0,1,0,0,0,2,0.830844,48,48
0,0,0,0,1,3,3,0,0,0,2,1,0,0,0,3,0,0,0,0,0.963768,49,49
0,0,0,0,1,3,3,0,0,0,2,1,0,0,0,1,2,0,0,0,0.915639,50,50
0,0,0,0,1,2,4,0,0,0,1,2,0,0,0,2,1,0,0,0,1.015104,51,51
0,0,0,0,1,2,4,0,0,0,0,3,0,0,0,1,1,0,0,1,0.784540,52,52
0,0,0,0,1,1,5,0,0,0,2,1,0,0,0,2,1,0,0,0,1.051995,53,53
0,0,0,0,1,1,5,0,0,0,2,0,0,0,1,1,1,0,0,1,1.019333,54,54
0,0,0,0,1,3,3,0,0,0,1,2,0,0,0,3,0,0,0,0,0.990344,55,55
0,0,0,0,1,3,3,0,0,0,2,1,0,0,0,0,2,0,0,1,0.896418,56,56
0,0,0,0,1,3,3,0,0,0,1,2,0,0,0,1,1,0,0,1,0.960864,57,57
0,0,0,0,1,2,4,0,0,0,0,2,0,0,1,2,1,0,0,0,0.977370,58,58
0,0,0,0,1,3,3,0,0,0,2,0,0,0,1,0,3,0,0,0,0.971630,59,59
0,0,0,0,1,3,3,0,0,0,1,1,0,0,1,1,2,0,0,0,0.863289,60,60
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.568901,61,61
0,0,0,1,0,0,6,0,0,0,0,1,0,2,0,0,2,0,1,0,1.507076,62,62
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,3,0,0,0,1.529085,63,63
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.530197,64,64
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,1,0,2,0,1.519541,65,65
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,2,0,1,0,1.514171,66,66
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,0,1,0,1.486656,67,67
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.441551,68,68
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,1,0,2,0,1.450642,69,69
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.544716,70,70
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,0,1,0,1.506583,71,71
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.530932,72,72
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,2,0,1,0,1.514553,73,73
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,0,1,0,1.481929,74,74
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.533866,75,75
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,1,0,2,0,1.489922,76,76
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.486144,77,77
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,0,1,0,1.567537,78,78
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.477773,79,79
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.532460,80,80
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1.420627,81,81
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.383893,82,82
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.427219,83,83
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,1,0,0,2,0,1.425691,84,84
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,2,0,0,1,0,1.374073,85,85
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1.405093,86,86
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1.414816,87,87
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.429277,88,88
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.451904,89,89
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.435117,90,90
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.414838,91,91
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.426590,92,92
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1.474348,93,93
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1.412399,94,94
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1.301519,95,95
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,1,0,0,2,0,1.352606,96,96
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.436847,97,97
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1.396365,98,98
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.452732,99,99
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1.447454,100,100
0,0,0,1,0,4,2,0,0,0,3,0,0,0,0,2,0,0,1,0,1.376812,101,101
0,0,0,1,0,3,3,0,0,0,0,1,0,2,0,1,2,0,0,0,1.392708,102,102
0,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,1,0,2,0,1.508449,103,103
0,0,0,1,0,3,3,0,0,0,0,2,0,1,0,2,0,0,1,0,1.445627,104,104
0,0,0,1,0,2,4,0,0,0,1,2,0,0,0,2,1,0,0,0,1.422856,105,105
0,0,0,1,0,3,3,0,0,0,1,2,0,0,0,1,1,0,1,0,1.434147,106,106
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,0,2,0,1,0,1.377105,107,107
0,0,0,1,0,5,1,0,0,0,0,2,0,1,0,1,1,0,1,0,1.316589,108,108
0,0,0,1,0,2,4,0,0,0,0,2,0,1,0,2,1,0,0,0,1.425690,109,109
0,0,0,1,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,1.425859,110,110
0,0,0,1,0,5,1,0,0,0,1,0,0,2,0,0,3,0,0,0,1.408170,111,111
0,0,0,1,0,3,3,0,0,0,1,1,0,1,0,2,1,0,0,0,1.418867,112,112
0,0,0,1,0,3,3,0,0,0,1,1,0,1,0,1,1,0,1,0,1.425046,113,113
0,0,0,1,0,3,3,0,0,0,1,2,0,0,0,1,2,0,0,0,1.450309,114,114
0,0,0,1,0,4,2,0,0,0,2,1,0,0,0,1,1,0,1,0,1.387140,115,115
0,0,0,1,0,2,4,0,0,0,1,2,0,0,0,1,2,0,0,0,1.410325,116,116
0,0,0,1,0,4,2,0,0,0,1,2,0,0,0,3,0,0,0,0,1.431365,117,117
0,0,0,1,0,4,2,0,0,0,1,1,0,1,0,1,1,0,1,0,1.290437,118,118
0,0,0,1,0,2,4,0,0,0,0,2,0,1,0,0,2,0,1,0,1.375899,119,119
0,0,0,1,0,2,4,0,0,0,3,0,0,0,0,2,0,0,1,0,1.548317,120,120
