COOH_feature0,COOH_feature1,COOH_feature2,COOH_feature3,COOH_feature4,COOH_feature5,COOH_feature6,COOH_feature7,COOH_feature8,COOH_feature9,COOH_feature10,COOH_feature11,COOH_feature12,COOH_feature13,COOH_feature14,COOH_feature15,COOH_feature16,COOH_feature17,COOH_feature18,COOH_feature19,G_ads (eV),slab db row,COOH_H_adsorbed_all_sites_out.dbrow
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,-0.274924,14,84
0,0,0,1,0,3,0,2,1,0,0,1,0,2,0,0,1,1,1,0,0.213372,15,85
0,0,0,1,0,3,0,2,1,0,0,1,0,2,0,0,1,1,1,0,0.275597,15,86
0,0,0,1,0,3,0,2,1,0,0,1,0,2,0,0,1,1,1,0,0.453768,15,87
0,0,0,1,0,3,0,2,1,0,0,1,0,2,0,0,1,1,1,0,0.303249,15,88
0,0,0,1,0,3,0,2,1,0,0,1,0,2,0,0,1,1,1,0,0.257214,15,89
0,0,0,1,0,3,0,2,1,0,0,1,0,2,0,0,1,1,1,0,0.280174,15,90
1,0,0,0,0,3,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1.364759,16,91
1,0,0,0,0,3,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0.861957,16,92
1,0,0,0,0,3,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1.159347,16,93
1,0,0,0,0,3,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0.934564,16,94
1,0,0,0,0,3,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1.158589,16,95
1,0,0,0,0,3,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1.147510,16,96
0,0,1,0,0,1,2,1,0,2,1,1,0,1,0,0,0,0,3,0,1.438388,17,97
0,0,1,0,0,1,2,1,0,2,1,1,0,1,0,0,0,0,3,0,1.368907,17,98
0,0,1,0,0,1,2,1,0,2,1,1,0,1,0,0,0,0,3,0,1.445139,17,99
0,0,1,0,0,1,2,1,0,2,1,1,0,1,0,0,0,0,3,0,0.782026,17,101
0,0,1,0,0,1,2,1,0,2,1,1,0,1,0,0,0,0,3,0,0.676556,17,102
